Season,Date,Home Team,Away Team,Score
2006-2007,20:00,Sevilla,Celta Vigo,"2            

                0"
2006-2007,17:00,Valencia,Racing Santander,"0            

                2"
2006-2007,19:00,Real Mallorca,Real Betis,"2            

                0"
2006-2007,19:00,Recreativo Huelva,Barcelona,"0            

                4"
2006-2007,21:00,Athletic Bilbao,Osasuna,"0            

                3"
2006-2007,20:00,Atletico Madrid,Deportivo La Coruna,"2            

                0"
2006-2007,20:00,Celta Vigo,Athletic Bilbao,"1            

                1"
2006-2007,20:00,Getafe,Recreativo Huelva,"1            

                1"
2006-2007,20:00,Gimnastic,Sevilla,"1            

                0"
2006-2007,20:00,Osasuna,Valencia,"1            

                1"
2006-2007,20:00,Racing Santander,Espanyol,"1            

                1"
2006-2007,20:00,Real Betis,Real Zaragoza,"1            

                1"
2006-2007,20:00,Real Sociedad,Real Mallorca,"3            

                1"
2006-2007,19:00,Levante,Villarreal,"0            

                2"
2006-2007,21:00,Barcelona,Real Madrid,"3            

                3"
2006-2007,16:00,Athletic Bilbao,Gimnastic,"0            

                2"
2006-2007,16:00,Deportivo La Coruna,Real Betis,"0            

                1"
2006-2007,16:00,Espanyol,Villarreal,"1            

                1"
2006-2007,16:00,Racing Santander,Osasuna,"1            

                0"
2006-2007,16:00,Real Mallorca,Levante,"3            

                1"
2006-2007,16:00,Real Zaragoza,Real Sociedad,"3            

                2"
2006-2007,18:00,Real Madrid,Getafe,"1            

                1"
2006-2007,20:00,Recreativo Huelva,Atletico Madrid,"1            

                0"
2006-2007,19:00,Valencia,Celta Vigo,"1            

                0"
2006-2007,21:00,Sevilla,Barcelona,"2            

                1"
2006-2007,16:00,Celta Vigo,Racing Santander,"2            

                2"
2006-2007,16:00,Levante,Real Zaragoza,"0            

                0"
2006-2007,16:00,Osasuna,Espanyol,"0            

                2"
2006-2007,16:00,Real Betis,Recreativo Huelva,"0            

                0"
2006-2007,16:00,Villarreal,Real Mallorca,"2            

                1"
2006-2007,18:00,Gimnastic,Valencia,"1            

                1"
2006-2007,20:00,Barcelona,Athletic Bilbao,"3            

                0"
2006-2007,20:00,Getafe,Sevilla,"0            

                0"
2006-2007,19:00,Real Sociedad,Deportivo La Coruna,"0            

                1"
2006-2007,21:00,Atletico Madrid,Real Madrid,"1            

                1"
2006-2007,16:00,Athletic Bilbao,Getafe,"2            

                0"
2006-2007,16:00,Deportivo La Coruna,Levante,"0            

                0"
2006-2007,16:00,Espanyol,Real Mallorca,"3            

                1"
2006-2007,16:00,Osasuna,Celta Vigo,"0            

                1"
2006-2007,16:00,Racing Santander,Gimnastic,"4            

                1"
2006-2007,16:00,Recreativo Huelva,Real Sociedad,"1            

                0"
2006-2007,18:00,Valencia,Barcelona,"2            

                1"
2006-2007,20:00,Sevilla,Atletico Madrid,"3            

                1"
2006-2007,19:00,Real Madrid,Real Betis,"0            

                0"
2006-2007,21:00,Real Zaragoza,Villarreal,"1            

                0"
2006-2007,20:00,Atletico Madrid,Athletic Bilbao,"1            

                0"
2006-2007,20:00,Barcelona,Racing Santander,"2            

                0"
2006-2007,20:00,Celta Vigo,Espanyol,"0            

                2"
2006-2007,20:00,Getafe,Valencia,"3            

                0"
2006-2007,20:00,Gimnastic,Osasuna,"2            

                3"
2006-2007,20:00,Levante,Recreativo Huelva,"2            

                1"
2006-2007,20:00,Real Mallorca,Real Zaragoza,"2            

                1"
2006-2007,20:00,Villarreal,Deportivo La Coruna,"0            

                2"
2006-2007,19:00,Real Sociedad,Real Madrid,"1            

                2"
2006-2007,21:00,Real Betis,Sevilla,"0            

                0"
2006-2007,20:00,Athletic Bilbao,Real Betis,"1            

                2"
2006-2007,20:00,Celta Vigo,Gimnastic,"1            

                1"
2006-2007,20:00,Osasuna,Barcelona,"0            

                0"
2006-2007,20:00,Racing Santander,Getafe,"1            

                0"
2006-2007,20:00,Real Madrid,Levante,"0            

                1"
2006-2007,20:00,Recreativo Huelva,Villarreal,"2            

                1"
2006-2007,20:00,Sevilla,Real Sociedad,"0            

                0"
2006-2007,19:00,Deportivo La Coruna,Real Mallorca,"1            

                0"
2006-2007,19:00,Espanyol,Real Zaragoza,"1            

                2"
2006-2007,21:00,Valencia,Atletico Madrid,"3            

                1"
2006-2007,16:00,Getafe,Osasuna,"2            

                0"
2006-2007,16:00,Gimnastic,Espanyol,"4            

                0"
2006-2007,16:00,Levante,Sevilla,"2            

                4"
2006-2007,16:00,Real Mallorca,Recreativo Huelva,"2            

                1"
2006-2007,16:00,Real Sociedad,Athletic Bilbao,"0            

                2"
2006-2007,16:00,Real Zaragoza,Deportivo La Coruna,"1            

                1"
2006-2007,18:00,Barcelona,Celta Vigo,"3            

                1"
2006-2007,20:00,Real Betis,Valencia,"2            

                1"
2006-2007,19:00,Atletico Madrid,Racing Santander,"1            

                1"
2006-2007,21:00,Villarreal,Real Madrid,"1            

                0"
2006-2007,20:00,Real Betis,Barcelona,"1            

                1"
2006-2007,20:00,Barcelona,Gimnastic,"3            

                0"
2006-2007,20:00,Deportivo La Coruna,Espanyol,"0            

                0"
2006-2007,20:00,Getafe,Celta Vigo,"1            

                0"
2006-2007,20:00,Levante,Athletic Bilbao,"0            

                0"
2006-2007,20:00,Real Betis,Racing Santander,"1            

                1"
2006-2007,20:00,Real Mallorca,Real Madrid,"0            

                1"
2006-2007,20:00,Real Sociedad,Valencia,"0            

                1"
2006-2007,20:00,Real Zaragoza,Recreativo Huelva,"0            

                0"
2006-2007,19:00,Atletico Madrid,Osasuna,"1            

                0"
2007-2008,17:00,Getafe,Real Betis,"1            

                1"
2007-2008,17:00,Racing Santander,Osasuna,"1            

                0"
2007-2008,17:00,Real Mallorca,Real Zaragoza,"3            

                2"
2007-2008,17:00,Recreativo Huelva,Real Valladolid,"1            

                1"
2007-2008,17:00,Valencia,Atletico Madrid,"3            

                1"
2007-2008,20:00,Deportivo La Coruna,Villarreal,"0            

                2"
2007-2008,20:00,Espanyol,Almeria,"1            

                3"
2007-2008,20:00,Real Madrid,Levante,"5            

                2"
2007-2008,20:00,Sevilla,Athletic Bilbao,"4            

                1"
2007-2008,21:00,Murcia,Barcelona,"3            

                5"
2007-2008,20:00,Almeria,Recreativo Huelva,"0            

                2"
2007-2008,20:00,Athletic Bilbao,Racing Santander,"0            

                0"
2007-2008,20:00,Atletico Madrid,Deportivo La Coruna,"1            

                0"
2007-2008,20:00,Barcelona,Real Mallorca,"2            

                3"
2007-2008,20:00,Levante,Valencia,"1            

                5"
2007-2008,20:00,Osasuna,Murcia,"2            

                1"
2007-2008,20:00,Real Betis,Sevilla,"0            

                2"
2007-2008,20:00,Real Valladolid,Getafe,"0            

                0"
2007-2008,20:00,Real Zaragoza,Real Madrid,"2            

                2"
2007-2008,20:00,Villarreal,Espanyol,"2            

                0"
2007-2008,20:00,Espanyol,Atletico Madrid,"0            

                2"
2007-2008,19:00,Deportivo La Coruna,Levante,"1            

                0"
2007-2008,19:00,Getafe,Almeria,"4            

                2"
2007-2008,19:00,Murcia,Athletic Bilbao,"1            

                2"
2007-2008,19:00,Racing Santander,Sevilla,"0            

                3"
2007-2008,19:00,Real Betis,Real Valladolid,"1            

                1"
2007-2008,19:00,Real Mallorca,Osasuna,"2            

                1"
2007-2008,19:00,Recreativo Huelva,Villarreal,"0            

                2"
2007-2008,19:00,Valencia,Real Zaragoza,"1            

                0"
2007-2008,21:00,Real Madrid,Barcelona,"4            

                1"
2007-2008,16:00,Almeria,Real Betis,"1            

                1"
2007-2008,16:00,Athletic Bilbao,Real Mallorca,"1            

                2"
2007-2008,16:00,Levante,Espanyol,"1            

                1"
2007-2008,16:00,Racing Santander,Murcia,"3            

                2"
2007-2008,16:00,Sevilla,Real Valladolid,"2            

                0"
2007-2008,16:00,Villarreal,Getafe,"2            

                0"
2007-2008,18:00,Barcelona,Valencia,"6            

                0"
2007-2008,20:00,Osasuna,Real Madrid,"1            

                2"
2007-2008,19:00,Atletico Madrid,Recreativo Huelva,"3            

                0"
2007-2008,21:00,Real Zaragoza,Deportivo La Coruna,"1            

                0"
2007-2008,16:00,Espanyol,Real Zaragoza,"1            

                1"
2007-2008,16:00,Getafe,Atletico Madrid,"1            

                1"
2007-2008,16:00,Real Mallorca,Racing Santander,"3            

                1"
2007-2008,16:00,Real Valladolid,Almeria,"1            

                0"
2007-2008,16:00,Recreativo Huelva,Levante,"2            

                0"
2007-2008,16:00,Valencia,Osasuna,"3            

                0"
2007-2008,18:00,Real Betis,Villarreal,"0            

                1"
2007-2008,20:00,Real Madrid,Athletic Bilbao,"3            

                0"
2007-2008,19:00,Deportivo La Coruna,Barcelona,"2            

                0"
2007-2008,21:00,Murcia,Sevilla,"0            

                0"
2007-2008,16:00,Levante,Getafe,"3            

                1"
2007-2008,16:00,Murcia,Real Mallorca,"1            

                4"
2007-2008,16:00,Osasuna,Deportivo La Coruna,"0            

                1"
2007-2008,16:00,Villarreal,Real Valladolid,"2            

                0"
2007-2008,18:00,Racing Santander,Real Madrid,"0            

                2"
2007-2008,20:00,Athletic Bilbao,Valencia,"5            

                1"
2007-2008,19:00,Atletico Madrid,Real Betis,"1            

                3"
2007-2008,19:00,Barcelona,Espanyol,"0            

                0"
2007-2008,19:00,Real Zaragoza,Recreativo Huelva,"3            

                0"
2007-2008,21:00,Sevilla,Almeria,"1            

                4"
2007-2008,16:00,Deportivo La Coruna,Athletic Bilbao,"3            

                0"
2007-2008,16:00,Espanyol,Osasuna,"0            

                1"
2007-2008,16:00,Getafe,Real Zaragoza,"0            

                0"
2007-2008,16:00,Real Betis,Levante,"0            

                1"
2007-2008,16:00,Real Mallorca,Sevilla,"2            

                3"
2007-2008,16:00,Real Valladolid,Atletico Madrid,"1            

                1"
2007-2008,18:00,Real Madrid,Murcia,"1            

                0"
2007-2008,20:00,Almeria,Villarreal,"1            

                0"
2007-2008,19:00,Valencia,Racing Santander,"1            

                2"
2007-2008,21:00,Recreativo Huelva,Barcelona,"2            

                2"
2007-2008,16:00,Athletic Bilbao,Espanyol,"1            

                0"
2007-2008,16:00,Atletico Madrid,Almeria,"6            

                3"
2007-2008,16:00,Levante,Real Valladolid,"0            

                3"
2007-2008,16:00,Murcia,Valencia,"1            

                0"
2007-2008,16:00,Racing Santander,Deportivo La Coruna,"1            

                3"
2007-2008,16:00,Real Zaragoza,Real Betis,"0            

                3"
2007-2008,18:00,Sevilla,Villarreal,"2            

                0"
2007-2008,20:00,Barcelona,Getafe,"0            

                0"
2007-2008,19:00,Osasuna,Recreativo Huelva,"0            

                1"
2007-2008,21:00,Real Mallorca,Real Madrid,"1            

                1"
2007-2008,16:00,Almeria,Levante,"2            

                1"
2007-2008,16:00,Espanyol,Racing Santander,"0            

                3"
2007-2008,16:00,Getafe,Osasuna,"0            

                2"
2007-2008,16:00,Real Valladolid,Real Zaragoza,"2            

                1"
2007-2008,16:00,Recreativo Huelva,Athletic Bilbao,"1            

                1"
2007-2008,16:00,Valencia,Real Mallorca,"0            

                3"
2007-2008,18:00,Deportivo La Coruna,Murcia,"3            

                1"
2007-2008,20:00,Real Madrid,Sevilla,"3            

                1"
2007-2008,19:00,Real Betis,Barcelona,"3            

                2"
2007-2008,21:00,Villarreal,Atletico Madrid,"3            

                0"
2007-2008,16:00,Barcelona,Real Valladolid,"4            

                1"
2007-2008,16:00,Levante,Villarreal,"1            

                2"
2007-2008,16:00,Murcia,Espanyol,"4            

                0"
2007-2008,16:00,Osasuna,Real Betis,"0            

                1"
2007-2008,16:00,Racing Santander,Recreativo Huelva,"2            

                0"
2007-2008,16:00,Real Zaragoza,Almeria,"1            

                1"
2007-2008,18:00,Real Madrid,Valencia,"2            

                3"
2007-2008,20:00,Athletic Bilbao,Getafe,"1            

                0"
2007-2008,19:00,Real Mallorca,Deportivo La Coruna,"1            

                0"
2007-2008,21:00,Sevilla,Atletico Madrid,"1            

                2"
2007-2008,16:00,Espanyol,Real Mallorca,"2            

                1"
2007-2008,16:00,Getafe,Racing Santander,"2            

                1"
2007-2008,16:00,Real Valladolid,Osasuna,"0            

                0"
2007-2008,16:00,Villarreal,Real Zaragoza,"2            

                0"
2007-2008,18:00,Almeria,Barcelona,"2            

                2"
2007-2008,20:00,Atletico Madrid,Levante,"3            

                0"
2007-2008,19:00,Deportivo La Coruna,Real Madrid,"1            

                0"
2007-2008,19:00,Real Betis,Athletic Bilbao,"1            

                2"
2007-2008,19:00,Recreativo Huelva,Murcia,"4            

                2"
2007-2008,21:00,Valencia,Sevilla,"1            

                2"
2007-2008,16:00,Athletic Bilbao,Real Valladolid,"2            

                0"
2007-2008,16:00,Murcia,Getafe,"0            

                3"
2007-2008,16:00,Osasuna,Almeria,"2            

                1"
2007-2008,16:00,Racing Santander,Real Betis,"3            

                0"
2007-2008,16:00,Real Mallorca,Recreativo Huelva,"7            

                1"
2007-2008,16:00,Sevilla,Levante,"2            

                1"
2007-2008,18:00,Valencia,Deportivo La Coruna,"2            

                2"
2007-2008,20:00,Barcelona,Villarreal,"1            

                2"
2007-2008,19:00,Real Madrid,Espanyol,"2            

                1"
2007-2008,21:00,Real Zaragoza,Atletico Madrid,"2            

                1"
2007-2008,16:00,Getafe,Real Mallorca,"3            

                3"
2007-2008,16:00,Levante,Real Zaragoza,"2            

                1"
2007-2008,16:00,Real Betis,Murcia,"4            

                0"
2007-2008,16:00,Real Valladolid,Racing Santander,"0            

                1"
2007-2008,18:00,Villarreal,Osasuna,"0            

                0"
2007-2008,20:00,Almeria,Athletic Bilbao,"1            

                1"
2007-2008,19:00,Atletico Madrid,Barcelona,"4            

                2"
2007-2008,19:00,Deportivo La Coruna,Sevilla,"2            

                1"
2007-2008,19:00,Recreativo Huelva,Real Madrid,"2            

                3"
2007-2008,21:00,Espanyol,Valencia,"2            

                0"
2007-2008,16:00,Athletic Bilbao,Villarreal,"1            

                2"
2007-2008,16:00,Deportivo La Coruna,Espanyol,"2            

                0"
2007-2008,16:00,Murcia,Real Valladolid,"0            

                1"
2007-2008,16:00,Osasuna,Atletico Madrid,"3            

                1"
2007-2008,16:00,Racing Santander,Almeria,"1            

                0"
2007-2008,16:00,Real Mallorca,Real Betis,"1            

                1"
2007-2008,18:00,Barcelona,Levante,"5            

                1"
2007-2008,20:00,Real Madrid,Getafe,"0            

                1"
2007-2008,19:00,Valencia,Recreativo Huelva,"1            

                1"
2007-2008,21:00,Sevilla,Real Zaragoza,"5            

                0"
2007-2008,16:00,Almeria,Murcia,"1            

                0"
2007-2008,16:00,Levante,Osasuna,"2            

                1"
2007-2008,16:00,Real Valladolid,Real Mallorca,"1            

                1"
2007-2008,16:00,Recreativo Huelva,Deportivo La Coruna,"3            

                2"
2007-2008,16:00,Villarreal,Racing Santander,"0            

                0"
2007-2008,18:00,Getafe,Valencia,"0            

                0"
2007-2008,20:00,Atletico Madrid,Athletic Bilbao,"1            

                2"
2007-2008,19:00,Espanyol,Sevilla,"2            

                4"
2007-2008,19:00,Real Betis,Real Madrid,"2            

                1"
2007-2008,21:00,Real Zaragoza,Barcelona,"1            

                2"
2007-2008,16:00,Athletic Bilbao,Levante,"1            

                0"
2007-2008,16:00,Espanyol,Recreativo Huelva,"1            

                2"
2007-2008,16:00,Osasuna,Real Zaragoza,"1            

                0"
2007-2008,16:00,Racing Santander,Atletico Madrid,"0            

                2"
2007-2008,16:00,Real Mallorca,Almeria,"0            

                0"
2007-2008,18:00,Real Madrid,Real Valladolid,"7            

                0"
2007-2008,20:00,Valencia,Real Betis,"3            

                1"
2007-2008,19:00,Deportivo La Coruna,Getafe,"1            

                1"
2007-2008,19:00,Murcia,Villarreal,"0            

                1"
2007-2008,21:00,Sevilla,Barcelona,"1            

                1"
2007-2008,16:00,Atletico Madrid,Murcia,"1            

                1"
2007-2008,16:00,Levante,Racing Santander,"1            

                1"
2007-2008,16:00,Real Valladolid,Valencia,"0            

                2"
2007-2008,16:00,Real Zaragoza,Athletic Bilbao,"1            

                0"
2007-2008,16:00,Recreativo Huelva,Sevilla,"1            

                2"
2007-2008,16:00,Villarreal,Real Mallorca,"1            

                1"
2007-2008,18:00,Barcelona,Osasuna,"1            

                0"
2007-2008,20:00,Getafe,Espanyol,"0            

                1"
2007-2008,19:00,Almeria,Real Madrid,"2            

                0"
2007-2008,21:00,Real Betis,Deportivo La Coruna,"0            

                1"
2007-2008,16:00,Deportivo La Coruna,Real Valladolid,"3            

                1"
2007-2008,16:00,Espanyol,Real Betis,"1            

                2"
2007-2008,16:00,Murcia,Levante,"2            

                3"
2007-2008,16:00,Racing Santander,Real Zaragoza,"2            

                2"
2007-2008,16:00,Real Mallorca,Atletico Madrid,"1            

                0"
2007-2008,16:00,Recreativo Huelva,Getafe,"1            

                3"
2007-2008,16:00,Valencia,Almeria,"0            

                1"
2007-2008,18:00,Athletic Bilbao,Barcelona,"1            

                1"
2007-2008,20:00,Real Madrid,Villarreal,"3            

                2"
2007-2008,21:00,Sevilla,Osasuna,"2            

                1"
2007-2008,16:00,Almeria,Deportivo La Coruna,"1            

                0"
2007-2008,16:00,Levante,Real Mallorca,"2            

                2"
2007-2008,16:00,Osasuna,Athletic Bilbao,"2            

                0"
2007-2008,16:00,Real Betis,Recreativo Huelva,"1            

                1"
2007-2008,16:00,Real Valladolid,Espanyol,"2            

                1"
2007-2008,16:00,Real Zaragoza,Murcia,"3            

                1"
2007-2008,18:00,Atletico Madrid,Real Madrid,"0            

                2"
2007-2008,20:00,Barcelona,Racing Santander,"1            

                0"
2007-2008,19:00,Getafe,Sevilla,"3            

                2"
2007-2008,21:00,Villarreal,Valencia,"3            

                0"
2007-2008,16:00,Almeria,Espanyol,"1            

                0"
2007-2008,16:00,Osasuna,Racing Santander,"0            

                2"
2007-2008,16:00,Real Betis,Getafe,"3            

                0"
2007-2008,16:00,Real Valladolid,Recreativo Huelva,"3            

                1"
2007-2008,16:00,Real Zaragoza,Real Mallorca,"2            

                2"
2007-2008,16:00,Villarreal,Deportivo La Coruna,"4            

                3"
2007-2008,18:00,Levante,Real Madrid,"0            

                2"
2007-2008,20:00,Atletico Madrid,Valencia,"1            

                0"
2007-2008,19:00,Barcelona,Murcia,"4            

                0"
2007-2008,21:00,Athletic Bilbao,Sevilla,"2            

                0"
2008-2009,16:00,Espanyol,Malaga,"3            

                0"
2008-2009,16:00,Numancia,Sevilla,"0            

                2"
2008-2009,18:00,Osasuna,Real Madrid,"2            

                1"
2008-2009,18:00,Racing Santander,Getafe,"1            

                1"
2008-2009,18:00,Real Betis,Real Valladolid,"1            

                1"
2008-2009,18:00,Sporting Gijon,Recreativo Huelva,"2            

                1"
2008-2009,20:00,Atletico Madrid,Almeria,"3            

                0"
2008-2009,20:00,Deportivo La Coruna,Barcelona,"1            

                1"
2008-2009,20:00,Real Mallorca,Villarreal,"2            

                3"
2008-2009,20:00,Valencia,Athletic Bilbao,"2            

                0"
2008-2009,20:00,Real Madrid,Real Mallorca,"1            

                3"
2008-2009,20:00,Almeria,Espanyol,"0            

                3"
2008-2009,20:00,Athletic Bilbao,Atletico Madrid,"1            

                4"
2008-2009,20:00,Barcelona,Osasuna,"0            

                1"
2008-2009,20:00,Getafe,Numancia,"1            

                0"
2008-2009,20:00,Malaga,Real Betis,"1            

                1"
2008-2009,20:00,Real Valladolid,Sporting Gijon,"1            

                2"
2008-2009,20:00,Recreativo Huelva,Racing Santander,"0            

                1"
2008-2009,20:00,Sevilla,Deportivo La Coruna,"1            

                0"
2008-2009,20:00,Villarreal,Valencia,"3            

                1"
2008-2009,16:00,Espanyol,Athletic Bilbao,"1            

                0"
2008-2009,16:00,Numancia,Recreativo Huelva,"1            

                0"
2008-2009,16:00,Racing Santander,Real Valladolid,"3            

                2"
2008-2009,16:00,Real Betis,Almeria,"2            

                0"
2008-2009,16:00,Sporting Gijon,Malaga,"2            

                1"
2008-2009,18:00,Real Mallorca,Barcelona,"2            

                1"
2008-2009,20:00,Atletico Madrid,Valencia,"1            

                0"
2008-2009,19:00,Deportivo La Coruna,Getafe,"1            

                1"
2008-2009,19:00,Osasuna,Sevilla,"0            

                0"
2008-2009,21:00,Villarreal,Real Madrid,"3            

                2"
2008-2009,16:00,Almeria,Sporting Gijon,"3            

                1"
2008-2009,16:00,Getafe,Osasuna,"3            

                0"
2008-2009,16:00,Malaga,Racing Santander,"1            

                0"
2008-2009,16:00,Real Valladolid,Numancia,"0            

                0"
2008-2009,16:00,Recreativo Huelva,Deportivo La Coruna,"1            

                2"
2008-2009,18:00,Barcelona,Villarreal,"3            

                3"
2008-2009,20:00,Atletico Madrid,Espanyol,"3            

                2"
2008-2009,19:00,Athletic Bilbao,Real Betis,"1            

                0"
2008-2009,19:00,Sevilla,Real Mallorca,"3            

                1"
2008-2009,21:00,Valencia,Real Madrid,"3            

                0"
2008-2009,16:00,Deportivo La Coruna,Real Valladolid,"1            

                0"
2008-2009,16:00,Osasuna,Recreativo Huelva,"1            

                2"
2008-2009,16:00,Racing Santander,Almeria,"0            

                2"
2008-2009,16:00,Real Mallorca,Getafe,"2            

                1"
2008-2009,16:00,Sporting Gijon,Athletic Bilbao,"1            

                1"
2008-2009,18:00,Espanyol,Valencia,"3            

                0"
2008-2009,20:00,Real Betis,Atletico Madrid,"0            

                2"
2008-2009,19:00,Real Madrid,Barcelona,"2            

                6"
2008-2009,21:00,Numancia,Malaga,"2            

                0"
2008-2009,21:00,Villarreal,Sevilla,"0            

                2"
2008-2009,16:00,Athletic Bilbao,Racing Santander,"2            

                1"
2008-2009,16:00,Espanyol,Real Betis,"2            

                0"
2008-2009,16:00,Getafe,Villarreal,"1            

                2"
2008-2009,16:00,Real Valladolid,Osasuna,"0            

                0"
2008-2009,16:00,Recreativo Huelva,Real Mallorca,"2            

                4"
2008-2009,18:00,Sevilla,Real Madrid,"2            

                4"
2008-2009,20:00,Atletico Madrid,Sporting Gijon,"3            

                1"
2008-2009,19:00,Almeria,Numancia,"2            

                1"
2008-2009,19:00,Malaga,Deportivo La Coruna,"1            

                1"
2008-2009,21:00,Valencia,Barcelona,"2            

                2"
2008-2009,19:00,Sporting Gijon,Espanyol,"0            

                3"
2008-2009,19:00,Villarreal,Recreativo Huelva,"2            

                1"
2008-2009,21:00,Racing Santander,Atletico Madrid,"5            

                1"
2008-2009,21:00,Real Mallorca,Real Valladolid,"2            

                0"
2008-2009,19:00,Deportivo La Coruna,Almeria,"2            

                0"
2008-2009,19:00,Osasuna,Malaga,"2            

                3"
2008-2009,19:00,Real Betis,Valencia,"1            

                2"
2008-2009,21:00,Barcelona,Sevilla,"4            

                0"
2008-2009,20:00,Numancia,Athletic Bilbao,"1            

                2"
2008-2009,20:00,Real Madrid,Getafe,"3            

                2"
2008-2009,16:00,Almeria,Osasuna,"2            

                1"
2008-2009,16:00,Espanyol,Racing Santander,"1            

                0"
2008-2009,16:00,Real Valladolid,Villarreal,"0            

                0"
2008-2009,18:00,Valencia,Sevilla,"3            

                1"
2008-2009,20:00,Real Betis,Sporting Gijon,"2            

                0"
2008-2009,19:00,Athletic Bilbao,Deportivo La Coruna,"0            

                1"
2008-2009,19:00,Atletico Madrid,Numancia,"3            

                0"
2008-2009,19:00,Getafe,Barcelona,"0            

                1"
2008-2009,19:00,Malaga,Real Mallorca,"1            

                1"
2008-2009,21:00,Recreativo Huelva,Real Madrid,"0            

                1"
2008-2009,16:00,Numancia,Espanyol,"0            

                0"
2008-2009,16:00,Osasuna,Athletic Bilbao,"2            

                1"
2008-2009,16:00,Racing Santander,Real Betis,"2            

                3"
2008-2009,16:00,Real Madrid,Real Valladolid,"2            

                0"
2008-2009,16:00,Real Mallorca,Almeria,"2            

                0"
2008-2009,16:00,Sporting Gijon,Valencia,"2            

                3"
2008-2009,18:00,Sevilla,Getafe,"0            

                1"
2008-2009,20:00,Deportivo La Coruna,Atletico Madrid,"1            

                2"
2008-2009,19:00,Barcelona,Recreativo Huelva,"2            

                0"
2008-2009,21:00,Villarreal,Malaga,"0            

                2"
2008-2009,16:00,Atletico Madrid,Osasuna,"2            

                4"
2008-2009,16:00,Espanyol,Deportivo La Coruna,"3            

                1"
2008-2009,18:00,Valencia,Getafe,"4            

                1"
2008-2009,20:00,Sporting Gijon,Racing Santander,"0            

                2"
2008-2009,19:00,Almeria,Villarreal,"3            

                0"
2008-2009,19:00,Athletic Bilbao,Real Mallorca,"2            

                1"
2008-2009,19:00,Real Betis,Numancia,"3            

                3"
2008-2009,19:00,Real Valladolid,Barcelona,"0            

                1"
2008-2009,19:00,Recreativo Huelva,Sevilla,"0            

                1"
2008-2009,21:00,Malaga,Real Madrid,"0            

                1"
2008-2009,16:00,Deportivo La Coruna,Real Betis,"1            

                1"
2008-2009,16:00,Getafe,Recreativo Huelva,"2            

                1"
2008-2009,16:00,Numancia,Sporting Gijon,"2            

                1"
2008-2009,16:00,Osasuna,Espanyol,"1            

                0"
2008-2009,16:00,Racing Santander,Valencia,"0            

                1"
2008-2009,16:00,Real Madrid,Almeria,"3            

                0"
2008-2009,18:00,Barcelona,Malaga,"6            

                0"
2008-2009,20:00,Real Mallorca,Atletico Madrid,"2            

                0"
2008-2009,19:00,Villarreal,Athletic Bilbao,"2            

                0"
2008-2009,21:00,Sevilla,Real Valladolid,"4            

                1"
2008-2009,16:00,Espanyol,Real Mallorca,"3            

                3"
2008-2009,16:00,Malaga,Sevilla,"2            

                2"
2008-2009,16:00,Racing Santander,Numancia,"5            

                0"
2008-2009,16:00,Real Betis,Osasuna,"0            

                0"
2008-2009,16:00,Real Valladolid,Getafe,"1            

                0"
2008-2009,16:00,Sporting Gijon,Deportivo La Coruna,"3            

                2"
2008-2009,18:00,Atletico Madrid,Villarreal,"3            

                2"
2008-2009,20:00,Almeria,Barcelona,"0            

                2"
2008-2009,19:00,Valencia,Recreativo Huelva,"1            

                1"
2008-2009,21:00,Athletic Bilbao,Real Madrid,"2            

                5"
2008-2009,16:00,Deportivo La Coruna,Racing Santander,"5            

                3"
2008-2009,16:00,Numancia,Valencia,"2            

                1"
2008-2009,16:00,Osasuna,Sporting Gijon,"1            

                2"
2008-2009,16:00,Real Mallorca,Real Betis,"3            

                3"
2008-2009,16:00,Recreativo Huelva,Real Valladolid,"2            

                3"
2008-2009,18:00,Sevilla,Almeria,"2            

                1"
2008-2009,20:00,Getafe,Malaga,"1            

                2"
2008-2009,19:00,Barcelona,Athletic Bilbao,"2            

                0"
2008-2009,19:00,Real Madrid,Atletico Madrid,"1            

                1"
2008-2009,21:00,Villarreal,Espanyol,"1            

                0"
2008-2009,16:00,Almeria,Getafe,"2            

                1"
2008-2009,16:00,Malaga,Recreativo Huelva,"0            

                2"
2008-2009,16:00,Numancia,Deportivo La Coruna,"0            

                1"
2008-2009,16:00,Racing Santander,Osasuna,"1            

                1"
2008-2009,16:00,Sporting Gijon,Real Mallorca,"0            

                1"
2008-2009,18:00,Atletico Madrid,Barcelona,"4            

                3"
2008-2009,18:00,Valencia,Real Valladolid,"1            

                2"
2008-2009,20:00,Real Betis,Villarreal,"2            

                2"
2008-2009,19:00,Athletic Bilbao,Sevilla,"1            

                2"
2008-2009,21:00,Espanyol,Real Madrid,"0            

                2"
2008-2009,16:00,Osasuna,Numancia,"2            

                0"
2008-2009,16:00,Real Mallorca,Racing Santander,"1            

                0"
2008-2009,16:00,Real Valladolid,Malaga,"1            

                3"
2008-2009,16:00,Recreativo Huelva,Almeria,"1            

                1"
2008-2009,18:00,Getafe,Athletic Bilbao,"1            

                1"
2008-2009,20:00,Deportivo La Coruna,Valencia,"1            

                1"
2008-2009,19:00,Barcelona,Espanyol,"1            

                2"
2008-2009,19:00,Real Madrid,Real Betis,"6            

                1"
2008-2009,19:00,Villarreal,Sporting Gijon,"2            

                1"
2008-2009,21:00,Sevilla,Atletico Madrid,"1            

                0"
2008-2009,16:00,Almeria,Real Valladolid,"3            

                2"
